PLAYER,AGENTS,RND,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
"iHenDog
ASTA","breach, cypher, sova",294,0.83,160.6,0.72,69%,107.0,0.54,0.32,0.05,0.05,23%,7%,3/45,16,159,220,95,14,14
insano,"breach, viper",206,0.83,185.4,0.81,70%,119.3,0.64,0.37,0.10,0.09,34%,15%,3/20,19,132,163,76,20,19
"kook
ABG","yoru, jett, reyna",249,0.83,183.2,0.79,60%,123.5,0.65,0.16,0.12,0.22,26%,20%,6/30,24,163,206,39,30,54
"taiga
Lion","cypher, sage, reyna",278,0.83,192.1,0.86,65%,127.1,0.66,0.23,0.12,0.13,21%,,0/14,21,183,212,65,32,35
"vinizin
2002","jett, raze, brimstone",296,0.82,174.1,0.81,63%,116.8,0.62,0.19,0.10,0.13,26%,8%,2/26,21,183,226,57,31,37
"snarly
QOR","killjoy, cypher, brimstone",231,0.81,147.7,0.77,65%,95.2,0.53,0.35,0.06,0.08,35%,9%,3/33,20,122,159,80,13,18
"Dagr1s
GenZ","jett, neon, raze",231,0.81,184.8,0.84,66%,121.4,0.66,0.15,0.11,0.17,25%,6%,1/16,23,153,182,35,25,39
"fiziq
YFP","breach, sova, skye",302,0.81,170.1,0.77,69%,112.5,0.55,0.34,0.11,0.09,23%,4%,1/24,18,167,217,104,32,28
"Buld
GN","breach, sova, brimstone",201,0.81,175.7,0.83,69%,114.3,0.60,0.22,0.11,0.11,26%,,0/15,18,121,146,44,22,22
"6sonya
O1O","sova, fade",273,0.81,154.6,0.77,65%,107.1,0.56,0.22,0.05,0.07,37%,12%,5/41,17,152,197,61,14,20
"sherb
Laze","cypher, killjoy, gekko",328,0.81,168.8,0.81,65%,115.0,0.60,0.15,0.08,0.12,25%,16%,11/69,21,197,244,50,25,39
"VantiK
DXG","omen, cypher, viper",268,0.80,172.8,0.76,66%,113.4,0.60,0.28,0.05,0.11,35%,9%,4/43,20,160,211,74,14,29
"erin
DGL","raze, jett, sova",307,0.80,180.5,0.74,61%,121.0,0.59,0.28,0.09,0.14,26%,3%,1/32,26,181,244,87,28,42
"Sandra
GK","cypher, brimstone, killjoy",315,0.80,173.5,0.85,67%,116.4,0.63,0.21,0.07,0.08,38%,7%,3/43,21,198,232,67,23,26
"GrTw
SAW","cypher, killjoy",231,0.80,175.9,0.75,66%,120.8,0.58,0.18,0.12,0.11,25%,10%,4/41,23,135,179,42,28,25
"exile
ASTA","viper, killjoy, cypher",222,0.79,149.5,0.73,59%,102.2,0.55,0.18,0.07,0.08,35%,7%,3/46,18,123,169,41,15,18
"lucas
MFC","kayo, fade, skye",269,0.79,162.0,0.70,73%,100.3,0.52,0.49,0.05,0.09,21%,16%,5/32,23,141,201,133,13,24
"habibti
MESO","chamber, sova",222,0.78,162.9,0.73,60%,113.3,0.55,0.23,0.08,0.11,29%,10%,2/21,23,123,168,51,18,24
"Cille
HERO","fade, sova, kayo",333,0.78,151.6,0.72,67%,98.7,0.54,0.31,0.04,0.07,26%,11%,4/35,19,180,249,102,12,23
"meleliita
LEV.GC","breach, deadlock, sova",315,0.78,184.0,0.78,70%,121.1,0.61,0.25,0.17,0.17,29%,,0/10,24,193,247,80,54,53
"Sand
TU","viper, harbor, cypher",252,0.77,165.2,0.77,65%,111.2,0.59,0.18,0.06,0.12,32%,8%,2/26,17,148,193,45,15,31
"Aniemal
Wild","viper, cypher, killjoy",222,0.77,163.1,0.75,64%,113.6,0.56,0.18,0.08,0.07,20%,14%,4/28,15,125,166,40,18,16
"Atisca
K7",jett,218,0.77,179.5,0.79,61%,115.0,0.63,0.13,0.16,0.12,17%,4%,1/25,18,137,174,28,34,26
"blu
LOUD.GC","skye, gekko, fade",227,0.76,133.3,0.72,69%,89.1,0.48,0.33,0.06,0.11,33%,23%,5/22,15,110,152,76,13,26
"vii
TBS","jett, neon, raze",225,0.75,190.1,0.76,59%,126.8,0.65,0.16,0.12,0.17,27%,13%,1/8,18,146,192,36,28,39
"odessaca
Hype","omen, brimstone, skye",252,0.74,163.2,0.63,62%,108.0,0.51,0.29,0.08,0.09,22%,13%,4/31,17,129,205,73,19,22
"Fragger
SAW","breach, gekko, iso",231,0.74,153.4,0.70,65%,105.1,0.55,0.33,0.05,0.10,30%,24%,6/25,28,128,183,76,11,22
"Adenina
9ZG.GC","kayo, gekko, sova",297,0.74,138.2,0.67,66%,89.1,0.48,0.33,0.04,0.08,22%,16%,7/45,20,143,214,97,12,25
"Speedy
TBS","killjoy, omen, brimstone",225,0.73,149.8,0.63,65%,104.6,0.49,0.40,0.04,0.07,31%,13%,4/32,17,110,176,90,9,15
"Melsm
FSX","sova, skye, breach",218,0.73,136.4,0.72,66%,90.3,0.52,0.18,0.04,0.09,21%,9%,2/23,15,114,158,40,8,19
"pvS
SES","omen, brimstone, killjoy",201,0.73,153.0,0.68,59%,99.0,0.53,0.22,0.08,0.09,21%,13%,4/32,18,107,158,45,16,19
"Jenniffer
ERIN","jett, raze, neon",208,0.72,171.5,0.66,65%,118.0,0.55,0.24,0.16,0.19,21%,6%,1/17,15,115,174,49,34,40
"unfeel
Tena","skye, sova, sage",232,0.72,136.8,0.62,65%,87.3,0.47,0.32,0.07,0.08,28%,12%,4/33,18,109,175,74,16,19
"nathan
Baby","astra, omen, clove",244,0.70,143.5,0.59,62%,93.3,0.48,0.33,0.04,0.08,24%,23%,9/39,18,118,200,81,10,19
"BennY
CGN","phoenix, gekko, sage",415,0.69,147.6,0.70,63%,96.8,0.52,0.23,0.07,0.13,29%,11%,4/36,19,216,309,94,29,56
"nanno
Alli","killjoy, viper, cypher",212,0.67,155.6,0.68,56%,103.2,0.55,0.13,0.08,0.08,34%,6%,2/31,20,116,171,28,18,17
"Boaster
FNC","astra, omen",211,0.65,115.0,0.63,68%,72.2,0.41,0.31,0.06,0.12,24%,13%,3/24,16,86,137,66,13,26
merge,"gekko, sova, skye",244,0.64,125.9,0.56,56%,89.2,0.43,0.22,0.02,0.08,21%,16%,5/31,13,105,188,54,4,19
"Link
ALG","viper, cypher, kayo",208,,165.5,0.71,,112.6,0.56,0.35,0.08,0.11,,,,22,117,164,73,17,23
"Volay
ALG","skye, sova, astra",208,,166.9,0.81,,120.2,0.61,0.22,0.06,0.08,,,,25,126,155,46,13,16
"Kr1stal
XLG","sova, kayo, viper",310,,234.6,1.23,,154.7,0.77,0.28,0.10,0.10,,,,27,239,194,87,32,32
"Rarga
XLG","neon, jett, raze",310,,267.8,1.35,,173.0,0.96,0.19,0.24,0.17,,,,31,297,220,60,75,52
"MarT1n
XLG","omen, viper, harbor",310,,154.3,0.86,,102.1,0.52,0.37,0.06,0.05,,,,20,161,187,116,18,16
"MrCANI
XLG","breach, gekko, omen",310,,181.5,1.03,,116.7,0.68,0.38,0.04,0.03,,,,21,212,205,117,13,9
"happywei
XLG","cypher, killjoy, vyse",310,,202.0,0.97,,131.7,0.68,0.25,0.10,0.10,,,,23,211,218,79,31,30
"Chaos
ALG","cypher, iso, killjoy",208,,215.4,1.04,,148.7,0.79,0.18,0.15,0.16,,,,35,164,158,37,32,34
