PLAYER,AGENTS,RND,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Izo,"breach, reyna, omen",227,0.95,184.5,0.86,67%,125.6,0.63,0.30,0.10,0.08,33%,16%,4/25,19,143,167,69,22,19
"margaret
SPG","cypher, killjoy, yoru",282,0.95,187.9,0.98,68%,121.7,0.65,0.26,0.07,0.10,32%,27%,7/26,21,182,185,72,21,28
"zaj
ASTA","raze, jett, sova",222,0.95,217.5,0.92,68%,146.7,0.74,0.16,0.10,0.15,34%,21%,3/14,22,165,179,35,22,33
mikester,"brimstone, cypher, killjoy",209,0.95,201.6,0.99,67%,132.1,0.74,0.16,0.11,0.11,31%,11%,2/19,29,154,156,34,22,22
"Bobbert
SEN","omen, astra, clove",288,0.95,190.3,0.90,73%,129.4,0.68,0.45,0.06,0.08,22%,11%,4/36,23,197,219,131,18,23
"benzi
Pain","breach, killjoy, skye",529,0.94,185.2,0.87,73%,124.9,0.63,0.34,0.07,0.06,26%,13%,10/75,21,333,384,182,35,34
"Elab0rate
SOL","killjoy, cypher",271,0.94,180.8,0.98,68%,120.9,0.66,0.15,0.11,0.10,33%,18%,7/38,22,180,184,40,30,28
"BcJ
M80","gekko, sova, fade",586,0.94,187.3,0.95,76%,122.9,0.65,0.35,0.08,0.10,19%,21%,13/62,24,381,399,203,44,56
"hype
APK","cypher, killjoy",428,0.94,187.1,0.93,70%,121.9,0.65,0.25,0.11,0.08,28%,18%,7/39,21,278,299,107,46,34
"suzu
FL.GC","neon, jett, raze",217,0.94,227.9,0.98,68%,150.3,0.78,0.22,0.17,0.23,25%,15%,3/20,29,169,172,47,36,50
"Nanners
ZMM.B","cypher, deadlock, gekko",332,0.94,181.6,0.94,66%,120.3,0.64,0.24,0.08,0.10,27%,15%,6/39,23,214,228,79,26,32
"rise
FLOP","viper, omen, kayo",323,0.94,174.6,0.91,69%,117.8,0.64,0.32,0.06,0.07,24%,13%,6/45,24,207,227,103,20,24
"Yuki
DXG","jett, neon, yoru",231,0.94,209.8,0.91,66%,136.7,0.73,0.23,0.12,0.16,23%,6%,2/34,26,169,185,52,28,37
"benjyfishy
TH","killjoy, cypher, viper",405,0.94,187.2,1.01,69%,124.7,0.69,0.15,0.09,0.11,36%,16%,6/37,24,280,276,62,36,45
"v1nny
RED","gekko, viper, sage",313,0.94,176.2,0.98,72%,114.4,0.63,0.28,0.06,0.05,34%,22%,9/41,17,198,203,88,19,16
"isaa
TL","sova, viper, gekko",326,0.94,183.3,0.95,71%,123.9,0.64,0.27,0.05,0.08,29%,14%,6/43,22,208,219,89,16,25
"zerona
Fish","viper, sova, fade",366,0.94,195.4,0.90,70%,135.2,0.68,0.30,0.09,0.12,29%,16%,5/32,27,248,276,109,32,43
